Timestamp,Slug
00:10,doomvoid-cleaver
00:24,unholy-darkness
00:31,doomvoid-guillotine-or-doomvoid-slicer
00:43,dark-fire-3
01:08,punishing-ray
01:35,dark-fire-3
01:46,shadoweye-and-hell-wind-and-unholy-darkness
02:01,shadowflame
02:13,entropy
02:22,empty-rage
02:28,doomvoid-guillotine
02:36,doomvoid-slicer
02:44,empty-hate
02:55,doomvoid-cleaver
03:10,shadowflame
03:22,entropy
03:44,flare
04:01,hell-wind
04:08,shadoweye-and-punishing-ray
04:20,shadowflame
04:31,entropy
04:41,equilibrium
04:44,doomvoid-cleaver
04:55,unholy-darkness
05:03,doomvoid-guillotine-or-doomvoid-slicer
05:29,shadowflame
05:41,entropy
05:57,empty-hate-or-empty-rage
06:20,flare
06:25,unholy-darkness
06:38,shadowflame
07:08,shadoweye-and-flare
07:16,dark-fire-3
07:22,equilibrium
07:28,punishing-ray
07:33,doomvoid-cleaver
07:48,shadowflame
08:17,quietus
08:25,c-1
08:28,c-2
08:31,c-3
08:50,c-1
08:53,c-2
08:56,c-3
09:16,quietus
09:27,c-1
09:30,c-2
09:33,c-3
09:52,quietus
10:00,quietus
10:10,quietus
10:12,enrage
