Timestamp,Name
00:03,Dissipation
00:03,Energy Drain x3
00:06,Swiftcast
00:06,Chain Stratagem
00:15,Aetherflow
00:18,Energy Drain x2
00:28,Indominability
00:30,Biolysis
01:00,Biolysis
01:01,Summon Seraph
01:06,Recitation
01:06,Excogitation
01:09,Consolation
01:15,Aetherflow
01:17,Consolation
01:18,Energy Drain x1
01:27,Fey Illumination
01:30,Biolysis
01:36,Fey Blessing
01:39,Sacred Soil
01:42,Whispering Dawn
01:48,Indominability
02:00,Biolysis
02:01,Lucid Dreaming
02:06,Chain Stratagem
02:09,Succor
02:15,Aetherflow
02:18,Energy Drain x1
02:21,Sacred Soil
02:24,Indominability
02:27,Adloquium
02:30,Deployment Tactics
02:36,Fey Blessing
03:03,Whispering Dawn
03:06,Dissipation
03:09,Energy Drain x3
03:13,Recitation
03:16,Swiftcast
03:18,Succor
03:21,Aetherflow
00:05,Energy Drain x3
00:06,Succor
00:12,Biolysis
00:15,Chain Stratagem
00:21,Whispering Dawn
00:24,Aetherflow
00:27,Recitation
00:30,Indominability
00:42,Biolysis
00:45,Fey Blessing
00:51,Fey Illumination
00:54,Sacred Soil
01:00,Indominability
01:03,Excogitation
01:06,Fey Union
01:12,Biolysis
01:13,Lucid Dreaming
01:15,Summon Seraph
01:21,Consolation
01:24,Aetherflow
01:25,Energy Drain x2
01:25,Whispering Dawn
01:30,Consolation
01:31,Indominability
01:42,Biolysis
02:00,Dissipation
02:01,Energy Drain x2
02:03,Adloquium
02:06,Deployment Tactics
02:08,Sacred Soil
02:12,Biolysis
02:12,Recitation
02:13,Indominability
02:15,Chain Stratagem
02:18,Succor
02:19,Lucid Dreaming
02:24,Aetherflow
02:25,Energy Drain x2
02:33,Fey Blessing
02:42,Biolysis
02:48,Fey Union
02:57,Excogitation
03:00,Whispering Dawn
03:03,Fey Illumination
03:12,Biolysis
03:15,Succor
03:24,Aetherflow
03:33,Sacred Soil
03:36,Fey Blessing
03:39,Summon Seraph
03:42,Biolysis
03:43,Excogitation
03:44,Consolation
03:48,Consolation
03:49,Indominability
04:09,Biolysis
04:10,Lucid Dreaming
04:12,Adloquium
04:15,Deployment Tactics
04:15,Chain Stratagem
04:21,Whispering Dawn
04:24,Aetherflow
04:25,Energy Drain x2
04:25,Sacred Soil
04:28,Recitation
04:29,Indominability
04:42,Biolysis
04:42,Fey Blessing
05:09,Biolysis
05:10,Lucid Dreaming
05:12,Fey Illumination
05:15,Dissipation
05:16,Energy Drain x3
05:24,Aetherflow
05:25,Energy Drain x1
05:27,Sacred Soil
05:33,Indominability
