Name,Icon,Duration,Cooldown
Aspected Benefic,https://xivapi.com/i/003000/003127.png,0s,0s
Aspected Helios,https://xivapi.com/i/003000/003130.png,0s,0s
Benefic II,https://xivapi.com/i/003000/003128.png,0s,0s
Celestial Intersection,https://xivapi.com/i/003000/003556.png,0s,30s,
Celestial Opposition,https://xivapi.com/i/003000/003142.png,15s,60s
Collective Unconscious,https://xivapi.com/i/003000/003140.png,15s,90s
Combust III,https://xivapi.com/i/003000/003554.png,30s,0s
Divination,https://xivapi.com/i/003000/003553.png,15s,120s
Draw,https://xivapi.com/i/003000/003101.png,0s,30s,
Earthly Star,https://xivapi.com/i/003000/003143.png,0s,60s,
Stellar Detonation,https://xivapi.com/i/003000/003144.png,0s,0s,
Essential Dignity,https://xivapi.com/i/003000/003141.png,0s,40s,
Helios,https://xivapi.com/i/003000/003129.png,0s,0s
Horoscope,https://xivapi.com/i/003000/003550.png,0s,60s,
Horoscope Pop,https://xivapi.com/i/003000/003551.png,0s,0s
Lightspeed,https://xivapi.com/i/003000/003135.png,15s,90s
Lucid Dreaming,https://xivapi.com/i/000000/000865.png,21s,60s
Minor Arcana,https://xivapi.com/i/003000/003128.png,0s,0s
Neutral Sect,https://xivapi.com/i/003000/003552.png,20s,120s
Rescue,https://xivapi.com/i/000000/000890.png,21s,150s
Sleeve Draw,https://xivapi.com/i/003000/003107.png,30s,180s
Stellar Detonation,https://xivapi.com/i/003000/003144.png,0s,0s
Surecast,https://xivapi.com/i/000000/000869.png,6s,120s
Swiftcast,https://xivapi.com/i/000000/000866.png,10s,60s
Synastry,https://xivapi.com/i/003000/003139.png,20s,120s
