Name,Icon,Duration,Cooldown
Addle,https://xivapi.com/i/000000/000861.png,10s,90s
Aetherial Manipulation,https://xivapi.com/i/000000/000467.png,0s,10s
Swiftcast,https://xivapi.com/i/000000/000866.png,10s,60s
Surecast,https://xivapi.com/i/000000/000869.png,6s,120s
Lucid Dreaming,https://xivapi.com/i/000000/000865.png,21s,60s
Enochian,https://xivapi.com/i/002000/002656.png,30s,30s
Ley Lines,https://xivapi.com/i/002000/002656.png,30s,90s
Manafont,https://xivapi.com/i/002000/002651.png,0s,180s
Manaward,https://xivapi.com/i/000000/000463.png,20s,120s
Sharpcast,https://xivapi.com/i/002000/002657.png,15s,30s
Triplecast,https://xivapi.com/i/002000/002663.png,15s,60s
Xenoglossy,https://xivapi.com/i/002000/002667.png,0s,30s
Xenoglossy x2,https://xivapi.com/i/002000/002667.png,0s,30s
