Name,Icon,Duration,Cooldown
Arm's Length,https://xivapi.com/i/000000/000822.png,6s,120s
Bloodfest,https://xivapi.com/i/003000/003428.png,0s,90s
Bow Shock,https://xivapi.com/i/003000/003423.png,15s,60s
Heart of Light,https://xivapi.com/i/003000/003424.png,15s,90s
Heart of Stone,https://xivapi.com/i/003000/003425.png,10s,25s
Nebula,https://xivapi.com/i/003000/003412.png,15s,120s
No Mercy,https://xivapi.com/i/003000/003402.png,0s,60s
Rampart,https://xivapi.com/i/000000/000801.png,20s,90s
Reprisal,https://xivapi.com/i/000000/000806.png,10s,60s
Rough Divide,https://xivapi.com/i/003000/003418.png,0s,30s
Superbolide,https://xivapi.com/i/003000/003416.png,8s,360s
