Name,Icon,Duration,Cooldown
Afflatus Misery,https://xivapi.com/i/002000/002644.png,0s,0s
Afflatus Rapture,https://xivapi.com/i/002000/002643.png,0s,0s
Afflatus Solace,https://xivapi.com/i/002000/002640.png,0s,0s
Assize,https://xivapi.com/i/002000/002634.png,0s,45s
Asylum,https://xivapi.com/i/002000/002632.png,24s,90s
Benediction,https://xivapi.com/i/002000/002627.png,0s,180s
Dia,https://xivapi.com/i/002000/002641.png,30s,0s
Divine Benison,https://xivapi.com/i/002000/002638.png,15s,30s
Lucid Dreaming,https://xivapi.com/i/000000/000865.png,21s,60s
Medica II,https://xivapi.com/i/000000/000409.png,15s,0s
Plenary Indulgence,https://xivapi.com/i/002000/002639.png,10s,60s
Rescue,https://xivapi.com/i/000000/000890.png,0s,120s
Surecast,https://xivapi.com/i/000000/000869.png,6s,120s
Swiftcast,https://xivapi.com/i/000000/000866.png,10s,60s
Temperance,https://xivapi.com/i/002000/002645.png,0s,120s
Tetragrammaton,https://xivapi.com/i/002000/002633.png,20s,60s
